n, m
13210, 65847
13230, 60225
13250, 58517
13270, 71203
13290, 61312
13310, 63620
13330, 65727
13350, 63691
13370, 66656
13390, 60914
13410, 64353
13430, 93422
13450, 58989
13470, 68100
13490, 66653
13510, 64407
13530, 74604
13550, 68845
13570, 57705
13590, 62445
13610, 59549
13630, 86413
13650, 79980
13670, 69960
13690, 54383
13710, 67469
13730, 69992
13750, 57627
13770, 65595
13790, 61119
13810, 60437
13830, 64713
13850, 85099
13870, 76647
13890, 64836
13910, 71608
13930, 62891
13950, 70857
13970, 59342
13990, 79590
14010, 66660
14030, 64407
14050, 80071
14070, 70665
14090, 57011
14110, 131255
14130, 69164
14150, 76603
14170, 76975
14190, 70478
14210, 72507
14230, 63268
14250, 65436
14270, 74531
14290, 68870
14310, 70432
14330, 71029
14350, 75019
14370, 72290
14390, 97901
14410, 67497
14430, 73790
14450, 65938
14470, 67950
14490, 70491
14510, 70810
14530, 60718
14550, 70593
14570, 73887
14590, 75179
14610, 81270
14630, 70222
14650, 87466
14670, 73513
14690, 72952
14710, 71173
14730, 73476
14750, 72597
14770, 69782
14790, 68822
14810, 74340
14830, 66429
14850, 67639
14870, 70721
14890, 72323
14910, 84674
14930, 81623
14950, 75503
14970, 81736
14990, 91199
15010, 79034
15030, 88431
15050, 82189
15070, 85557
15090, 76476
15110, 69458
15130, 71939
15150, 79227
15170, 119985
15190, 73775
15210, 108247
15230, 87984
15250, 68703
15270, 71936
15290, 79406
15310, 88553
15330, 75366
15350, 73193
15370, 64378
15390, 71565
15410, 78235
15430, 66384
15450, 78271
15470, 85260
15490, 93494
15510, 72038
15530, 70746
15550, 65236
15570, 84432
15590, 93892
15610, 79969
15630, 86908
15650, 71493
15670, 86741
15690, 70700
15710, 65172
15730, 79540
15750, 102902
15770, 96424
15790, 68242
15810, 89044
15830, 72679
15850, 82856
15870, 105219
15890, 77972
15910, 63685
15930, 73950
15950, 80748
15970, 80448
15990, 89006
16010, 76537
16030, 88823
16050, 80347
16070, 82266
16090, 67503
16110, 80044
16130, 69405
16150, 93804
16170, 66261
16190, 79805
16210, 84524
16230, 93954
16250, 103420
16270, 83659
16290, 84187
16310, 84394
16330, 71547
16350, 96467
16370, 114832
16390, 89415
16410, 74691
16430, 71851
16450, 75105
16470, 85025
16490, 89245
16510, 84989
16530, 98746
16550, 100712
16570, 92704
16590, 85561
16610, 74787
16630, 94125
16650, 91181
16670, 84536
16690, 96989
16710, 87439
16730, 91655
16750, 74345
16770, 80129
16790, 83936
16810, 82100
16830, 86134
16850, 93250
16870, 83407
16890, 85403
16910, 86085
16930, 79941
16950, 74794
16970, 112598
16990, 100760
17010, 96958
17030, 86259
17050, 83802
17070, 78820
17090, 130457
17110, 107269
17130, 90636
17150, 80462
17170, 89864
17190, 87397
17210, 112502
17230, 91267
17250, 90563
17270, 80737
17290, 89591
17310, 101459
17330, 101579
17350, 80424
17370, 82928
17390, 80735
17410, 73585
17430, 80027
17450, 84523
17470, 92153
17490, 102120
17510, 106168
17530, 83028
17550, 73923
17570, 84309
17590, 107213
17610, 95130
17630, 105314
